BatchID,THC,CBD,BMyrcene,BCaryophyllene,DLimonene,APinene,BPinene,AHumulene,terpinolene,Camphene,ATerpinene,GTerpinene,ATerpineol,d3Carene,Fenchol,Fenchone,APhellandrene,linalool,Ocimene,CaryophylleneOxide,cisNerolidol,Eucalyptol,Geraniol,Guaiol,Isopulegol,pCymene,transNerolidol,ABisabolol
654,881.57365,1.82,5.33,9.31,10.55,1.02,1.48,2.11,1.26,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,1.34,0
655,730.30421,5.07783,19.85,1.97,5.53,0.87,0.95,0,1.5,0,0,0,0,0,0,0,0,1.09,2.23,0,0,0,0,0,0,0,0,0
656,735.45069,4.49,4.73,18.41,7.64,0,0.85,5.03,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,4.4,1.57
657,797.02963,2.12,5.32,9.22,4.34,0,0,2.61,2.79,0,0,0,0,0,0,0,0,1.32,0.66,0,0,0,0,0.87,0,0,3.73,1.29
658,692.31257,5.5251,13.44,2.86,16.5,1.64,2.59,0.83,5.04,0,0,0,0,0,0,0,0,1.07,1.14,0,0,0,0,0,0,0,0,0
659,751.21189,3.56939,22.62,2.74,13.61,1.97,2.6,0,0,0,0,0,0,0,0,0,0,0.79,0.63,0,0,0,0,0,0,0,0,0
660,752.37134,1.48,7.46,29.35,10.43,0.81,1.13,8.9,0,0,0,0,0,0,0,0,0,2.47,0.57,0,0,0,0,0.8,0,0,2.35,1.07
661,815.56054,1.6,4.21,6.65,3.58,0,0,1.83,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,1.39,0
662,688.80457,2.85025,8.6,4.92,22.58,5.96,4.38,0.97,2.11,0.95,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0
663,742.68745,1.77154,23.96,1.81,9.46,3.75,2.91,0,1.16,0,0,0,0,0,0,0,0,0.78,1.81,0,0,0,0,0,0,0,0,0
664,753.46578,1.41197,10.3,1.69,11.39,1.38,1.81,0,1.69,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0
665,689.53248,2.08726,28.14,3.7,10.57,1.39,1.39,0.94,5.51,0,0,0,0,0,0,0,0,1.63,3.05,0,0,0,0,0,0,0,0.54,0
666,846.35536,4.52,6.75,13.67,4.44,0,0,3.19,0.73,0,0,0,0,0,0,0,0,1.53,0.52,0,0,0,0,1.23,0,0,2.03,1.03
667,709.87011,1.33304,32.56,1.74,9.08,1.74,2.09,0,1.59,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0
668,750.41382,14.45296,7.58,1.13,12.25,1.04,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,761.86744,1.53475,6.13,1.28,6.17,0.84,0.97,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0
670,740.92468,1.51721,11.14,2.89,11.59,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
671,745.19567,1.49967,11.68,3.06,10.98,1.48,2.03,0,1.5,0,0,0,0,0,0,0,0,0.94,0.58,0,0,0,0,0,0,0,0,0
672,731.63725,1.30673,6.38,2.13,9.65,0.9,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673,753.94813,1.85047,7.53,4.11,15.63,2.13,2.82,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674,840.89076,1.69,6.61,21.44,5.49,0,0,6.12,0.73,0,0,0,0,0,0,0,0,2.83,1.38,0,0,0,0,1.33,0.82,0,1.52,1.19
675,742.69622,2.21881,19.47,2.6,12.77,1.19,1.29,0,1.41,0,0,0,0,0,0,0,0,0.91,2.27,0,0,0,0,0,0,0,0,0
676,755.43026,2.04341,4.16,2.13,8.17,0.78,1.25,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,752.69402,1.92063,6.02,2.96,9.2,0.8,1.26,0,10.32,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0
